"text","created","url","latitude","longitude","retweets","hashtag"
"omg i love chipotle <e2><80><94> Never had it uh https://t.co/MYwGa0Jzgs",2017-11-29 22:05:15,"https://twitter.com/happysocksni/status/935993084093100037",NA,NA,0,"chipotle"
"moe<e2><80><99>s is way better than chipotle",2017-11-29 22:04:54,"https://twitter.com/dsymoneee/status/935992994859282432",NA,NA,0,"chipotle"
"Daddy gettn is chipotle <ed><a0><bd><ed><b8><8d>",2017-11-29 22:04:47,"https://twitter.com/RudeeAhh_/status/935992967105564672",NA,NA,0,"chipotle"
"I really want some chipotle",2017-11-29 22:04:43,"https://twitter.com/iMaNigastby/status/935992949925732353",NA,NA,0,"chipotle"
"The founder of Chipotle plans to step down as #CEO as struggles continue https://t.co/ZEr6dKxqQG via @WSJ #leadership #business",2017-11-29 22:04:38,"https://twitter.com/tonyrichards4/status/935992925607153664",NA,NA,0,"chipotle"
"<ed><a0><bd><ed><b5><94>
Refueled with Chipotle.
Engines back online.

Progress: Resumed<e2><9c><85>",2017-11-29 22:04:34,"https://twitter.com/_Raabe_MT/status/935992910906056704",NA,NA,0,"chipotle"
"this bitch working at chipotle really had the nerve to tell my man he got some beautiful ass eyes right in front of<e2><80><a6> https://t.co/E9tFd0s6ik",2017-11-29 22:04:20,"https://twitter.com/haileyfoulkk/status/935992852592566272",NA,NA,0,"chipotle"
"craving chipotle",2017-11-29 22:04:15,"https://twitter.com/Ladaviabroadus_/status/935992831239446536",NA,NA,0,"chipotle"
"Chipotle's Steve Ells stepping away from CEO role https://t.co/o7ocRpboxD https://t.co/NE86Y2r4iu",2017-11-29 22:04:01,"https://twitter.com/FastCasual/status/935992773592997888",NA,NA,0,"chipotle"
"Nothing better than free Chipotle <e2><9c><85>",2017-11-29 22:03:50,"https://twitter.com/BdotRocks/status/935992727594000385",NA,NA,0,"chipotle"
"Today has been one of the worst days ever but I think I want chipotle",2017-11-29 22:03:49,"https://twitter.com/JanThePlan_/status/935992723521318913",NA,NA,0,"chipotle"
"@jenniferschul24 @xkobyx32 Bring me and Jake chipotle",2017-11-29 22:03:42,"https://twitter.com/bakeyy20/status/935992691741134853",NA,NA,0,"chipotle"
"Don<e2><80><99>t know if I want chipotle or seafood",2017-11-29 22:03:40,"https://twitter.com/prettymorje__/status/935992683197329415",NA,NA,0,"chipotle"
"All i have eaten in the last twenty four hours is mike and ikes and 1/4 of a chipotle bowl can u tell I<e2><80><99>m nervous",2017-11-29 22:03:27,"https://twitter.com/angrytwink/status/935992631091449856",NA,NA,0,"chipotle"
"Chipotle seeks turnaround expert to replace Ells as CEO https://t.co/MylT3ixiPi",2017-11-29 22:03:24,"https://twitter.com/NarrendraM/status/935992616256180224",NA,NA,0,"chipotle"
"Chipotle White Bean Tacos https://t.co/SIVqkigqUM https://t.co/edBxIGr0ez",2017-11-29 22:03:21,"https://twitter.com/healthy_dinners/status/935992603128057858",NA,NA,0,"chipotle"
"1 Reason Why Chipotle's New CEO Shouldn't Be Like Chipotle's Old CEO https://t.co/bF6FmnEYmV",2017-11-29 22:03:14,"https://twitter.com/SkiftTable/status/935992573184765952",NA,NA,1,"chipotle"
"Hungry? Too busy to cook dinner? CHIPOTLE is THE ANSWER! Support BA Baseball and enjoy dinner!<e2><99><a5><ef><b8><8f><e2><9a><be><ef><b8><8f> @BelAirHigh<e2><80><a6> https://t.co/lWvWDpx0AS",2017-11-29 22:03:07,"https://twitter.com/HighlanderNews1/status/935992545754038272",NA,NA,0,"chipotle"
"Hello I like to apply for the new CEO positioning at chipotle. I<e2><80><99>ve eaten there once while wearing pissed jeans bef<e2><80><a6> https://t.co/2fIYa49wYQ",2017-11-29 22:02:54,"https://twitter.com/eyevanh/status/935992491010134016",NA,NA,0,"chipotle"
"Someone bring me chipotle pleaseeee",2017-11-29 22:02:48,"https://twitter.com/AmberBetts200/status/935992465865281536",NA,NA,0,"chipotle"
"@krtgrphr bro chipotle ceo leaving are u new ceo? congrats",2017-11-29 22:02:47,"https://twitter.com/vencat/status/935992462291677185",NA,NA,0,"chipotle"
"should i eat chipotle or taco bell",2017-11-29 22:02:32,"https://twitter.com/joshdunfun/status/935992400643796993",NA,NA,0,"chipotle"
"Reuters: Chipotle seeks turnaround expert to replace Ells as CEO https://t.co/eiYVtaOGMc",2017-11-29 22:02:14,"https://twitter.com/EBertolaccini/status/935992324768915457",NA,NA,0,"chipotle"
